userName,score,at,content
Nasir Cellular,5,2024-05-07 02:19:11,Sejauh ini bagus soalnya baru pemula
Syahrul Fauzi,1,2024-05-06 13:23:42,Astaga baru kali ini main apk investasi sumpah nge proses satu orderan aja lama beut lama dahal jam kerja loh
Mas Ais,5,2024-05-06 11:10:36,Sangat mudah difahami
Sholihin Plalangan,5,2024-05-06 08:38:42,terima kasih ajaib sudah membantu saya/kami untuk berinvestasi
PUTU DIRGA ARISUDANA,5,2024-05-06 03:23:25,Emang markotop sih inii app
Ridwan Maulana,1,2024-05-06 02:46:12,"Tolong ajaib aplikasinya jangan kebanyakan berubah-rubah. Bikin mumet aja, saya sudah bikin waitinglist malah ilang, gimana sih. Bagusan versi tahun 2023 kebawah. Forum chat juga makin nyempil dimana dah. Yg harus diperbaik tuh servernya tingkatin"
Rezki Ramadhan,1,2024-05-06 01:21:20,"Verifikasi data super lama pakai banget ,udah 6 bln lebih........"
palay,5,2024-05-05 18:08:10,bagus lengkap dan mudah di pahami code leveral andrxmt9
Abd Rhmn (ABDUL),1,2024-05-05 14:36:40,"Sudah setahun lebih investasi saham di Ajaib; masih belum tahu cs nya. Portofolio ditutup hanya untuk minta data diri investor; Gak bisa diakses karena kesulitan upload foto ktp. Anehnya kami sudah top up, sudah jual/ beli saham; kok baru diminta/ diminta lagi upload foto ktp. Sementara upload foto ktp gagal terus.Gimana ini?"
Fajar Kurniawan,1,2024-05-05 13:27:27,"Saya isi saldo kenapa tidak masuk full cuma 50% yg masuk tetapi di riwayat full di chat tdk aa respon,bikin rugi blm invest baru depo sdh begini"
David Kusuma Nababan,2,2024-05-05 11:00:37,"Masih banyak harus diperbaiki, salah satunya pencatatan net profit/loss setelah dikurangi pajak, harusnya ada seperti sekuritas lain. Terima kasih"
Fahmi Najib002 (FAHMI NAJIB7374),5,2024-05-05 01:33:34,Bagus banget aplikasinya mudah di mengerti bagi pemula saham
Sipri Leba,1,2024-05-04 23:32:30,Selalu gagal dalam tanda tangan. Coba ulangi foto KTP juga kembali ke foto KTP terus
Nurmansyah Daeng,1,2024-05-04 22:58:43,Lama banget selesai verifikasi nya sangat mengecewakan aplikasi burin
Dimas Arestu,3,2024-05-04 08:31:00,Tolong tambahkan fitur GTC dan e-statement buat liat biaya pajak tahunan kayak di stockbit donk
MICHAEL HOSEA NUGRAHA,1,2024-05-04 08:24:09,Kenapa pas jual saham selalu ga bisa bisa ya
sriiayu wi229,1,2024-05-03 21:10:50,"Aplikasi gatau lagi gangguan gatau apa atau aku kurang update sisa penjualan saham aku ada sekitar 2-300k tapi kenapa pas barusan di cek sahamnya ilang dan diriwayat pembelian saham nya juga gaada, malah yg adanya cuma Reksadana 11k. Td nya mau mulai aktif lagi beli saham, tapi kok gini ya gaada konfirmasi tapi tiba2 saham nya ilang, mungkin buat sebagian orang duit segitu gaada artinya, kalo buat saya duit segitu lumayan gede mana saya buat beli harus ngumpulin dl duit, kecewa sih asli"
setiawan arif,3,2024-05-03 08:17:40,Proses transaksi terlalu lama
Muhammad Habibi,1,2024-05-03 07:55:27,"Percuma aja ada ruang chat dan email pengaduan, tidak ada respon sama sekali padahal di jam kerja. Sy ingin mengkonfirmasi deposit rdn yg belum masuk"
Re Ndi,1,2024-05-03 07:14:10,Males kali pake aplikasi 1 ini.. Baru gak dibuka 1 hari harus login lagi.. Capek bener
Fedri Hidayat,5,2024-05-03 02:57:26,Good aplikasi ini..
Su Yadi,5,2024-05-02 10:20:14,Aplikasi mudah dioperasikan
"GANDA PUTRA MARBUN, SH., MH",5,2024-05-01 13:07:30,"Kenapa suka eror ya aplikasi nya, buat kita dekdekan dan was2, semoga ada perbaikan maintenance buat aplikasi nya"
Conik Khasanah,5,2024-05-01 06:57:21,Transaksi disini cepat bgt....mudah ...n banyak fiturnya....lengkap LG ....pokoknya aplikasi recommended bgt
Lisa Silvia,1,2024-05-01 06:43:10,"Mau lengkapi data, udah ambil foto KTP klik tanda centang malah minta foto lagi, gimana sih??"
Agung 7777,2,2024-05-01 04:47:21,Mohon maaf kenapa kok jual saham Goto tidak bisa. Dan lalu saya liat di KSEI saldo sudah kosong sedangkan di ajaib saham masih ada. What kemana uang saya
M NASRUN NUR,5,2024-05-01 02:02:04,Bagus kalau digabung aplikasi crypto. Gak perlu download dua aplikasi
Dian Saputra,1,2024-05-01 01:47:19,Tolong di tambahkan fitur ganti no HP
Yuli Dwi Prastiwi,5,2024-05-01 01:36:50,Kode referral yuli 253. Ayo temen temen coba jadi investor kecil kecilan jangan lupa masukin referral biar sama sama dapat hadiah saham.
Mhmd Arkaan,5,2024-04-30 13:17:35,"saya kasih bintang lima karna saya suka,semoga ga boncos,dan ada masalah saya juga gabisa lengkapi data diri e ktp di ulang ulang mulu,tolong perbaikan nya ya ka"
roro xoro,1,2024-04-30 11:19:13,Pendaftaran mengenai penghasilan yang rumit
Andes Arfendo,1,2024-04-30 04:51:56,"aplikasi ini sangat buruk WD nya aja smpai 3 hari itu pun klau nggak Ado Maslah, mohon di perbaiki itu dengan merugugikan pengguna,"
Digo Charley,1,2024-04-30 03:12:06,"Ga aktif aktif pendaftaran nya ,lama badut"
jordan dan,1,2024-04-29 04:47:40,Sdh kirim kucing mau depo tidak ada chat nya haya robot saja yang jawab bagaimana anda buat sistem seperti itu jd malas saya mau deposit
Deniansyah Sayuti,5,2024-04-28 15:27:23,"Saya sudah pernah daftar menggunakan KTP saya.. Namun saat ini saya kehilangan akses saya untuk menggunakan email, no HP untuk masuk ke akun saya.. Bagaimana solusi nya"
Bayu hadi prasetyo putra,1,2024-04-28 02:31:15,Aplikasi berinvestasi yang tidak rekomendasi karena jual aset yang sangat amat lama sekali. 7 hari itu cuman jual aset doang😮‍💨. Lagian aplikasi ini aplikasi ini hanya 4 hari kerja Sabtu Minggu libur. Dan jam kerja nya juga dari jam 9 pagi sampe jam 11 dan istirahat dan jam kerja lagi jam 1 sampai jam 3 sore. Gak rekomendasi banget. Jadi kalian susah untuk bertransaksi harus di jam kerja. No rekomendasi yang mau bertransaksi 24 jam gak bisa Disni
aris widyatmoko SKM,5,2024-04-27 18:47:51,"Aplikasi yg sangat membantu,mudah,simpel dan proses cepat,selalu setia pakai ajaib sekuritas,sukses selalu..."
Reza Agung,1,2024-04-27 17:43:20,"Akun saya sudah 4 hari masih dalam verifikasi terus , masa verifikasi sampe 4 hari"
hartati sati,4,2024-04-27 13:53:11,Jangan lupa masuin kode ajaibnya ( hartqyrb ) Bru cob... Blon tau hasil.. Ss
Agus Gntng,5,2024-04-27 03:38:20,Baru mau di coba ..saya pemula moga gak ribet pakai ya
Mukhlas Aditiya,1,2024-04-26 11:41:39,"Kenapa verifikasi KTP nya selalu gagal, selalu keluar, udah di coba berkali kali, udah di hapus di pasang lagi tetap gagal, selalu keluar dari verifikasi nya"
Josef Gunawan,1,2024-04-26 08:45:58,Aplikasi sungguh kacau kemarin pagi ini mau jual malah error tidak ada opsi tolong diperbaiki sekarang sore ini mau jual kgk bsa lgi error
Ade Sutrisna,1,2024-04-26 04:53:38,"Sungguh ajaib sekali, mau narik saldo harus nunggu 5 hari kerja.. Ga sekalian 1 bulan aja gitu,,?"
Riddy,5,2024-04-26 01:28:53,Hari senin pagi pagi sdh error transaksi... Hilang deh
Riko Aldiyas,5,2024-04-26 01:08:57,Untuk pembuat aplikasi mohon tambahin saham saham luar negeri dong kaya Apple sama McD dan lain lain
Surya Putra,1,2024-04-25 15:34:28,Verifikasi data yang sangat lama Sudah 3 Minggu belum selesai juga
Ansori Sang Sang,5,2024-04-25 10:44:23,"Selama pemaikaian Alhamdulillah semuanya lancar dan baik-baik saja, semoga kedepannya makin baik dan makin banyak penggunanya. Terimakasih"
Ghost Word,5,2024-04-24 18:55:49,Bagus mudah buat belajar investasi
Fitra Adina N.,2,2024-04-24 16:54:17,"Tolong perbaiki lagi fitur pada riwayat transaksi saham. Jika tiap saya transaksi saham, saya pasti rekap, setiap rekap saya perlu mengetahui jumlah biaya transaksi dengan klik 1 per 1 transaksi sahamnya. Yg membuat lama adalah jika saya klik saham yg agak bawah, lalu saya klik kembali, psti akan muncul ke riwayat paling atas dan saya perlu scroll ulang untuk rekap 1 per 1. Tolong QA nya teliti lagi untuk kenyamanan. Terima kasih. Jika sudah dibenarkan fiturnya saya kasih bintang 5."
Bagus Lantip,3,2024-04-23 23:48:29,Tolong bagian ETF juga dikasih grafik. Masih banyak ETF yang belum ada/sudah ditutup bercampur jadi satu. Boleh ditambahkan menu investasi DIRE & DINFRA
Chika Nur aini,1,2024-04-23 04:27:21,"Jangan main di apk inii, saya melakukan penjualan reksa dana tapi uang tidak masuk ke rekening saya dan juga diportofolio saya sudah tidak ada Reksadana tersebut. Riwayat jg hilang, untungnya saya sempat screenshot sebelumnya. Apk penipu ,jngan main di apk inii"
Satu Satu,3,2024-04-23 04:10:44,"Pihak ajaib yg terhormat, Buat lah transaksi yg lebih mudah.. sekarang Buy dan sell butuh waktu yg sangat lama dalam eksekusi transaksi.. membuat tidak nyaman penggunaan aplikasi, Sebab Terlalu lama transaksi berhasil l, Untuk beli lama untuk jual juga lama,, Proses Saldo juga butuh waktu 3 hari untuk saldo ke Reksadana, Maknanya,, Penggunaan aplikasi ajaib. Tolong kerjasama yg menguntungkan pengguna. 1. Buy yg Cepat 2. Sell Cepat Succes 3. Withdraw lebih Cepat tidak sampai 3 hari. Terimakasih"
apin wang,1,2024-04-22 09:41:08,"Harga sahan turun, tapi gk bisa di jual, sangat buruk, aset jdi berkurang karna sahan yg di beli tidak bs di jual kembali"
Citra Ratnawati,3,2024-04-22 05:01:15,"Sy menunggu menu spt BIBIT app,yaitu notifikasi ke ahli waris"
Iyan Sopian,4,2024-04-21 04:57:08,Lumayan buat saya yang masih awam dengan jual beli saham sedikit demi sedikit mulai mengerti apa itu jual beli saham tapi kalo bisa Ajaib kudu bisa ngasih saran saham apa yang lagihit untuk diperjual belikan seperti app sebelah yang di sesuaikan dengan kemampuan keuangan investor sperti saya yang cuan nya pas pasan
Ahmad Mustolih,1,2024-04-20 14:47:58,"""BAD SISTEM"" Mau ganti rekening dari BCA ke bank lain gabisa .Sebaiknya Rekening untuk WD bisa didaftarin lebih dari 1"
Saputra,5,2024-04-20 10:14:01,"Aplikasi enteng, UI UX nya bagus, mudah dipahami, pilihan instrumen investasi terbilang lengkap, good job buat ajaib"
ARBI ANTO,1,2024-04-20 05:55:08,Saya jual reksa dana saya sudah 3 hari ga di proses proses sangat menyesal saya memakai aplikasi model ajaib begini untuk apa apa sangat lama
Muhamad Rizal mantofani,1,2024-04-19 15:19:37,Pencairan uangnya lama banget sialan nyesel pake apk ini
suryani yani,3,2024-04-19 12:14:09,saya menunggu verifikasi sangat lama.. Minat saya sudah hilang
Mohamad Abidin,1,2024-04-19 11:06:19,"status sukses tapi saldo tidak masuk, 2x tarik rdn cuma bisa via bi fast tp gagal. mending bi fast di hilangin. tolong diperbaiki ajaib."
Alfi,1,2024-04-18 18:40:21,Deposit 20rb untuk coba coba hampir 2 jam tunggu tetap gak masuk saldo deposit nya padahal udah bayar melalui seabank ke permata tetap gak masuk saldo nya
Lucky Andrean,3,2024-04-18 12:13:41,"Cari aplikasi yang lain aja mending, banyak bug nya lama pencarian nya juga"
Monster U,1,2024-04-18 04:37:17,"Apk k++tol live chat aja gak bisa, bagaimana kalau ada masalah,kalian jangan pada pakai apk ini ,emang tampilan ui nya bagus ,tpi keamanan nya paling tollol"
togi sitio,4,2024-04-17 23:13:45,"Seandainya ada fitur kalender dividen, pasti makin sempurna"
Rizki Asmara,1,2024-04-17 17:20:08,Percuma sering di update terus.... selalu ngelag di open market/saat sedang ramai. Ajaib memang ini aplikasi....ajaib pasti rugi terus gegara pakai aplikasi ajaib ini.
Ghibran Afif,3,2024-04-17 07:22:56,Kenapa tidak bisa login lewat email yg sy daftarkan password salah truz
achmad muzaki,1,2024-04-17 05:47:22,Selagi penutupan akun masih rumit harus mengirim hard file ke kantor segala selama itulah bintang 1
Haidir Ali,1,2024-04-17 03:03:29,Ngga tau ini aplikasi gimana proses dannaya 14 hari belum cair. Untuk penarikan mau chat cs ngga bisa
Teguh GCG,1,2024-04-17 00:27:34,Suka mati sendiri dan hilang auto ordernya ketika dilakukan setting order dengan periode hari.
Enggal Rizky Purwantoko,2,2024-04-16 13:23:56,"Tolong banget, CS respon nya sangat sangat sangat sangat sangat sangat lamaaa.. Saya bersedia menunggu, tapi masa iya sampai 30menit kedepan belum di respon"
hikmah saputra,1,2024-04-16 10:51:00,"baru mau mulai infes sudah dibuat sangat kecewa, untung saya baru infes sedikit, nunggu nya 1 minggu, tiba2 dapet email infes gagal, ga tau tu dana infes gua lari kemana chat admin susah banget kaya orang lg nagih utang wkwkwkwk, dah itung2 gua nabung buat gua di akherat thanks"
Mahdi Halim,1,2024-04-16 07:05:48,Upload foto ktp sudah sesuai dengan ketentuan kenapa masih salah?
April Lia,4,2024-04-16 03:56:20,"Sekalian mau kasih saran utk ajaib: Ada fitur tambahan utk membuat kelompok porto dan diberi nama sesuai kemauan pemilik acc, misal porto 1 utk dana pensiun (isi nya bisa bbrp saham atw reksadana), porto 1 utk dana pendidikan dll"
Jack,1,2024-04-16 02:20:57,"Sering eror setiap jam buka bursa, tolong servernya di benerin supaya gk eror terus"
HDR Is my name,1,2024-04-16 02:19:01,Cuma ajaib sih yg ngasih biaya tambahan buat beli saham IPO tapi gk ada peningkatan sama sekai
Muhamad Akbar Supriyadi,1,2024-04-15 11:36:46,Tolong ini mau registrasi bank kok suruh melengkapi nama tabungan kok ngga ada pencantuman nama ya
Dedy Sunardiyanto,1,2024-04-15 04:07:08,"Ini aplikasi kenapa bisa bintang 4 ya,menurut saya pribadi ini gak baik buat pemakainya,deposit mudah ,giliran tarik dana susahnya minta ampun persis sama aplikasi scam begitu modelnya dan ketika mau chat ke cs malah gak jelas mau chat yg mana,isinya group group chat,hadeuh...."
Vinsensius Lexsi,4,2024-04-15 02:34:24,"Sebenarnya metode login dan perbaikan lupa pin aku sudah cukup baik, tapi ada satu hal yang menurut saya cukup penting yaitu perubahan data serta perubahan rekening yang harus lebih diperhatikan yang mana verifikasi bisa melalui email agar lebih simple, karena saya mau mengubah nama dan rekening ke orang lain sebab tidak pernah dimainkan lagi cukup rumit prosesnya. Terima kasih"
Ary Herlambang,1,2024-04-15 02:27:05,"Asli ini sih parah baget,ikut reksadana dr hari kamis 07 apri 2024l sampe sampe skrg hari senen 05/04/2024 blm di acc jg,mau ditarik jg ga bs krn blm di acc,dulu ga kyk gini loh,makin kesini makin parah"
Yayah Kurniati,3,2024-04-15 02:14:45,Ini tuh karna blm jam efektif atau gimana ya mau order gak bisa terus
Muhammad Irfan Rifa'i,1,2024-04-15 00:27:03,"Dari 2022 verifikasi data kaga bisa, sampe 2024 coba masuk lagi masih gak bisa. Respon lambat."
Muhammat Ali Adam,1,2024-04-14 12:16:17,"Saya tidak dapat menyelesaikan proses pelengkapan data diri karena setelah mengupload foto ktp/wajah, aplikasi nya lgsg kembali ke menu home. Selain itu, bahkan jika saya sudah menyelesaikan proses pelengkapan data diri. Aplikasiny merespon dg ""proses pengubahan data diri tidak dapat dilakukan karena sedang diverifikasi"". Lah? Wong verifikasi aja butuh melengkapi data diri. Piye to?"
Toni,1,2024-04-14 09:15:49,Kenapa ya sdh ksh data lengkap tetapi ko ga bisa top up. Tapi keterangan dalam verifikasi sdh seminggu dalam verifikasi sedangkan waktu mendaptarkan katanya data verifikasi 48 jam. Tapi ini sdh seminggu ga terverifikasi
Abdul Rojikin,2,2024-04-13 20:30:30,Aplikasi indo untuk kripto mending sebelah ajaib sering elor GK tau kenapa saya kecewa sekali pajaknya juga mahal mending exce di luar aja saran saya pada orang Indonesia
David Karisoh,1,2024-04-13 13:49:59,Parah sdh top up mau beli kaga bisa padahal udah coba selama 2 minggu
Cece Lia,1,2024-04-13 11:51:54,"Saya mau main bukan bermain2 , kenapa gak bisa pakai acount asli ."
Adi Official,3,2024-04-13 00:13:39,Kenapa ya pas saya mau verifikasi data diri udah benar mengambil foto KTP nya pas saya klik lanjut ko balik lagi ke tampilan awal harus ngambil foto KTP lagi dah gitu gitu terus kenapa ya ada yg bisa jelasin
"Nuriadi, Nuriadi.",1,2024-04-12 14:30:39,"Waduh, kenapa ini aplikasi tidak bisa verifikasi email pendaftaran padahal sudah benar sesuai alurnya. Tolong direspon min dan dibalas komentar kami, agar kami tidak berpindah ke aplikasi yang lainnya); atas perhatian dan kerjasamanya diucapkan Terimakasih."
Izzul muchtar,1,2024-04-12 12:57:40,"Gabisa lanjutin verif KTP, pdhal foto nya sudah jelas. Udh dicoba 100kali ttp gabisa"
Nyono,3,2024-04-11 10:45:21,"Kenapa ajaib dengan verifikasi saya kok lama hampir setahun gak selesai² jawaban notifikasinya ""dalam proses"""
Muhammad Nasrulloh,2,2024-04-11 02:05:36,Saya bahkan daftar di ajaib... Hampir seminggu tdk ada respons sama sekali..
Rooo Boooo,1,2024-04-10 11:37:29,Min kenapa saham yg sudah saya beli 2 thn lebih namun saya belum dapat deviden cash nya ya? Lalu kenapa pula skrng tdk ada lagi pemberitahuan transaksi masuk deviden cash ke email saya atau ke kotak masuk apk akun ajaib saya? Jadi saya bisa tahu saham yg mana saja yg telah beri saya deviden cash. Tolong di tingkat kan lagi apk nya min.
Ryan Wahyudi,5,2024-04-09 01:00:32,Sangat mudah dimengerti aplikasinya
Tony (Tonnie),5,2024-04-07 19:51:51,"Sudah lebih setahun bergabung. Alhamdulillah lancar dan aman. Fast respon menanggapi masalah, cuma harus sabar menunggu dikonfirmasi sesuai antrian karena tidak sedikit yang menggunakan Apk Ajaib. Semoga AJAIB lebih baik dan tambah SUKSES. BTW menurut saya sampai saat ini TOP dah..."
Andi Fazhirah,1,2024-04-07 13:27:51,Veryfikasi sulit udah coba berulang2 tetap gak bisa ah payah
